kauan;länge
joitakin minuutteja;några minuter
Mutta kiva nähdä taas.;Men kul att ses igen.
Joo, pitkästä aikaa.;Ja, det var länge sen.
laiturilla;på bryggan
rannalla;på stranden
kesäleiri 5;ett kolloläger
leiri 5;ett läger, lägret, läger, lägren
viihtyä tosi hyvin II;stortrivas, -trivs, -trivdes, -trivts
ohjaaja 5;en ledare, ledaren, ledare, ledarna
reilu;sjyst, sjyst, sjysta
on kiva saada;det är kul att få
että;att
Siistiä!;Häftigt!
Siellä on...;Där finns ...
niin paljon uutta;så mycket nytt
urheilla I;sporta, sportar, sportade, sportat
retki 3;en utflykt, utflykten, utflykter, utflykterna
erityisesti;speciellt
tuolla;där borta
Enkö muistutakin...?;Visst liknar jag ...?