odottaa I;vänta, väntar, väntade, väntat
kauan;länge
joitakin minuutteja;några minuter
Mutta kiva nähdä taas.;Men kul att ses igen.
Joo, pitkästä aikaa.;Ja, det var länge sen.
enimmäkseen, eniten;mest
ottaa rennosti I;slappa, slappar, slappade, slappat
protuleiri;ett protuläger, -lägret
Kultaa vai hopeaa?;Guld eller silver?
istua IV;sitta, sitter, satt, suttit
laiturilla;på bryggan
ottaa aurinkoa I;sola, solar, solade, solat
tyttö 3;en tjej, tjejen, tjejer, tjejerna
pelata rantalentistä;spela beachvolley
pelata, soittaa I;spela, spelar, spelade, spelat
rannalla;på stranden
stereot;en stereo, stereon
äänenvoimakkuus on täysillä;volymen är på max
kesäleiri (Ruotsissa) 4;ett sommarkollo, -kollot, -kollon, -kollona
huippu;toppen, toppen, toppen
kesäleiri (Ruotsissa) 5;ett kolloläger
leiri 5;ett läger, lägret, läger, lägren
ehdottomasti;absolut
kesäloma;ett sommarlov, -lovet
viihtyä tosi hyvin II;stortrivas, -trivs, -trivdes, -trivts
ohjaaja 5;en ledare, ledaren, ledare, ledarna
todella;verkligen
reilu;sjyst, sjyst, sjysta
on kiva saada;det är kul att få
uusi;ny, nytt, nya
ystävä 3;en vän, vännen, vänner, vännerna
Tukholman eri osista;från olika delar av Stockholm
yhtenä iltana;en kväll
laskea I;räkna, räknar, räknade, räknat
että;att
puhua I;tala, talar, talade, talat
17 eri kieltä;sjutton olika språk
Siistiä!;Häftigt!
nukkua IV;sova, sover, sov, sovit
pieni;liten, litet, små
mökki 1;en stuga, stugan, stugor, stugorna
henkilö 3;en person, personen, personer, personerna
per talo;per hus
poika 2;en kille, killen, killar, killarna
päärakennus;en huvudbyggnad, -byggnaden
Siellä on...;Där finns ...
myös;också
keittiö 5;ett kök, köket, kök, köken
ruokasali;en matsal, matsalen
Meillä ei ole aikaa roikkua...;Vi har inte tid att hänga ...
Joka päivä tapahtuu...;Det händer ... varje dag.
niin paljon uutta;så mycket nytt
urheilla I;sporta, sportar, sportade, sportat
kalastaa I;fiska, fiskar, fiskade, fiskat
meloa I;paddla, paddlar, paddlade, paddlat
retki 3;en utflykt, utflykten, utflykter, utflykterna
iltaisin;på kvällarna
grillata I;grilla, grillar, grillade, grillat
jutella I;prata, pratar, pratade, pratat
totuus vai tehtävä;sanning eller konka
kerran viikossa;en gång i veckan
Tykkään tanssia...;Jag gillar att dansa ...
tanssia I;dansa, dansar, dansade, dansat
erityisesti;speciellt
tuolla;där borta
pitkät hiukset;långt hår
toppi 2;en topp, toppen, toppar, topparna
Mårten tykkää soittaa...;Mårten tycker om att spela ...
laulaa IV;sjunga, sjunger, sjöng, sjungit
ottaa esille jotakin I;plocka, plockar, plockade, plockat fram
kännykkänsä;sin mobil
näyttää I;visa, visar, visade, visat
peruukki päässä;en peruk på huvudet
Tosi siisti kuva, vai mitä?;Grym bild, va?
kuva 3;en bild, bilden, bilder, bilderna
Enkö muistutakin...?;Visst liknar jag ...?
muistuttaa jotakin I;likna, liknar, liknade, liknat
olen myöhässä;jag är sen
Ei hätää.;Ingen fara.
ei (yhtään) rahaa;inga pengar
rahat;pengar, pengarna
lainata I;låna, lånar, lånade, lånat
Mitä?;Va? (puhek.)
Ei ole totta!;Det är inte sant!
rahaton;pank
taas;igen
ostaa II;köpa, köper, köpte, köpt
Katso!;Kolla!
tehdä töitä, työskennellä I;jobba, jobbar, jobbade, jobbat
saada IV;få, får, fick, fått
kuukausirahaa;i månadspeng
melko paljon;ganska mycket
ilmaiseksi;gratis
auttaa jossakin II;hjälpa, hjälper, hjälpte, hjälpt till
mielellään;gärna
kotona;hemma
siivota I;städa, städar, städade, städat
tyhjentää II;tömma, tömmer, tömde, tömt
astianpesukone;en diskmaskin, -maskinen
pestä I;tvätta, tvättar, tvättade, tvättat
vaatteet;kläder, kläderna
laittaa ruokaa I;laga, lagar, lagade, lagat mat
joskus;ibland
vanhemmat;föräldrar, föräldrarna
tehdä pitkää päivää;jobba i långa dagar
usein;ofta
väsynyt;trött, trött, trötta
kun;när
tulla kotiin IV;komma hem
tulla IV;komma, kommer, kom, kommit
maksaa, suorittaa maksu I;betala, betalar, betalade, betalat
kännykkälasku 2;en mobilräkning, -räkningen, -räkningar, -räkningarna
salikortti;ett gymkort, -kortet
tarvita II;behöva, behöver, behövde, behövt
koska;eftersom
keskellä kaupunkia;mitt i stan
pyöräillä I;cykla, cyklar, cyklade, cyklat
jos ei sada;om det inte regnar
vaikea;svår, svårt, svåra
säästää I;spara, sparar, sparade, sparat
Metten mielestä...;... tycker Mette
kulua johonkin IV;gå till
mennä IV;gå, går, gick, gått
meikit;smink, sminket
paperia ja värejä;papper och färg
sillä;för
piirtää I;teckna, tecknar, tecknade, tecknat
heräteostos 5;ett impulsköp, -köpet, -köp, -köpen
silloin tällöin;då och då
syödä IV;äta, äter, åt, ätit
harvoin;sällan
pikaruoka;snabbmat, -maten
ehkä;kanske
tanskalainen makkara;pølse
paahdettu sipuli;rostad lök
joskus;nångång (puhek.) = någon gång
nälkäinen;hungrig, hungrigt, hungriga
hengailla kaupungilla II;hänga på stan
hengailla, roikkua II;hänga, hänger, hängde, hängt
kavereidensa kanssa;med sina kompisar
jossakin viihtyisässä kahvilassa;på något mysigt kahvilassa
kahvila 3;ett kafé, kaféet, kaféer, kaféerna
kesällä;på sommaren
tuntikausia;i timmar
kommentoida I;kommentera, kommenterar, kommenterade, kommenterat
jotka kävelevät ohi;som går förbi
Tivolin kahviloissa on kallista;det är dyrt på Tivolis kaféer
Se on enemmän sosiaalinen juttu...;Det är mer en social grej ...
sanoa IV;säga, säger, sade, sagt