Mitä kuuluu?;Läget?
pyöräillä I;cykla, cyklar, cyklade, cyklat
isä;en farsa, farsan
sisko;en syrra, syrran
pyöräilyloma;en cykelsemester, -semestern
mahtava, upea;häftig, häftigt, häftiga
Millainen sää siellä on?;Hur är vädret där?
toissapäivänä;i förrgår
tänä aamuna;i morse
vuokrata II;hyra, hyr, hyrde, hyrt
polkupyörä 2;en cykel, cykeln, cyklar, cyklarna
matkalla etelään päin;på väg söderut
kesällä;på sommaren
eräänä kesänä;en sommar
koko ajan;hela tiden
tulla kotiin;komma hem
lopettaa I;sluta, slutar, slutade, slutat