maa;a country
muutama;a few
ystävä;a friend
hieman;a little
alakoulu;a primary school
oppilas;a pupil
tuhat;a thousand
kylä;a village
syksy;an autumn
loppu;an end
kuten tiedät;as you know
olla, oli;be, was/were
nimeltä;called
tulla, tuli;come, came
erilainen;different
jännittävä;exciting
suomalainen;Finnish
Suomesta;from Finland
käydä uimassa;go swimming
kuulla;hear
Miten Skotlannissa menee?;How are things in Scotland?
kuulin;I heard
elokuussa;in August
Suomessa;in Finland
kesäkuussa;in June
toukokuussa;in May
pitää yhteyttä;keep in touch
pitää yhdessä;keep together
pitää;keep, kept
tietää, tiesi;know, knew
jäljellä;left
kuten, niin kuin;like
paljon;lots of
ihana;lovely
onneksi;luckily
saada ystäviä;make friends
kaivata;miss
nyt;now
lomalla;on holiday
maanantaina;on Monday
tiistaina;on Tuesday
hiljainen;quiet
sanoi;said
vakava;serious
hän kaipaa;she misses
Etelä-Suomi;southern Finland
yhä;still
netti;the net
he olivat;they were
Suomeen;to Finland
yhdessä;together
huomenna;tomorrow
tänä iltana/yönä;tonight
vierailla;visit
vierailla Lontoossa;visit London
oli;was
outo;weird
meni;went
Taatusti;You bet
sinä olit;you were