rantajuhlat;a beach party
alku;a beginning
maa;a country
lääkäri;a doctor
muutama;a few
ystävä;a friend
sairaala;a hospital
hieman;a little
alakoulu;a primary school
oppilas;a pupil
hymy;a smile
tuhat;a thousand
kylä;a village
luontoretki;a wildlife picnic
talvi;a winter
syksy;an autumn
loppu;an end
leikkaus;an operation
kuten tiedät;as you know
olla, oli;be, was/were
kutsua, soittaa;call
nimeltä;called
kylmä;cold
tulla, tuli;come, came
mahtava, kiva;cool
erilainen;different
Älä mene liian lähelle.;Don't get too close.
englantilainen;English
jopa;even
jokainen, kaikki;everybody
kaikki;everything
jännittävä;exciting
tuntea (olonsa), tunsi;feel, felt
suomalainen;Finnish
ruoka;food
ystävällinen;friendly
Suomesta;from Finland
käydä uimassa;go swimming
mennä, meni;go, went
olla jollakin;have, had
kuulla;hear
kuuma;hot
Miten Skotlannissa menee?;How are things in Scotland?
hei, moi;Howdy
kuulin;I heard
elokuussa;in August
Suomessa;in Finland
kesäkuussa;in June
toukokuussa;in May
pitää yhteyttä;keep in touch
pitää yhdessä;keep together
pitää;keep, kept
tietää, tiesi;know, knew
jäljellä;left
elämä;life
kuten, niin kuin;like
asua;live
yksinäinen;lonely
paljon;lots of
ihana;lovely
onneksi;luckily
Onnenpekka!;Lucky you!
saada ystäviä;make friends
tehdä, valmistaa (teki, valmisti);make, made
kaivata;miss
nyt;now
usein;often
lomalla;on holiday
maanantaina;on Monday
tiistaina;on Tuesday
yli;over
paljon;plenty of
melko;pretty
hiljainen;quiet
sanoi;said
sanoa, sanoi;say, said
vakava;serious
hän kaipaa;she misses
joskus;sometimes
Etelä-Suomi;southern Finland
yhä;still
varma;sure
puhe, puhua;talk
netti;the net
Yhdysvallat;the States
he olivat;they were
Asiat järjestyvät.;Things will work out.
Suomeen;to Finland
yhdessä;together
huomenna;tomorrow
tänä iltana/yönä;tonight
liian;too
tosi;TRUE
vierailla;visit
vierailla Lontoossa;visit London
oli;was
outo;weird
meni;went
villi;wild
on (tulevaisuudessa);will be
huolehtia, olla huolissaan;worry
Taatusti;You bet
Sinä sen sanoit.;You got it.
sinä olit;you were