asuinalue;neighbourhood
sukulaiset;relatives
tavallisia asioita;ordinary things
outo hiljaisuus;strange silence
koko perhe;whole family
1980-luvulla;in the 1980s
kaduilla;in the streets
illalla/yöllä;at night
siihen aikaan;in those days
14-vuotias tyttö;14-year-old girl
pelottava;scary
äänekkäästi;loudly
huolellisesti;carefully
helposti;easily
yhtäkkiä;suddenly
erittäin vaarallista;extremely dangerous
epätoivoisen onneton;desperately unhappy
hirveän järkyttynyt;terribly upset
kuolemanvakava;dead serious
melkein heti;almost immediately
muistaa;remember
selvitä (hengissä);survive
rauhoitella;calm down
selvitä hyvin;manage well
käydä ystävien luona;visit friends
ampua;shoot
varttua, kasvaa aikuiseksi;grow up
pelätä;be scared
nähdä painajaisia;have a nightmare
pukea ylleen;put on
menettää toivo;lose hope
loukkaantua;get hurt